"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C02199V02655","Sex","C04282V05059","Employment Cohorts","C02076V02508","Age Group","UNIT","VALUE"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","465","35 - 44 years","Euro","983.53"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","500","45 - 54 years","Euro","1050.01"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","530","55 - 59 years","Euro","981.16"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","-","All ages","Euro","963.2"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","30","One parent family with children","415","25 - 34 years","Euro","748.27"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","30","One parent family with children","465","35 - 44 years","Euro","976.49"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","30","One parent family with children","500","45 - 54 years","Euro","1121.19"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","30","One parent family with children","530","55 - 59 years","Euro","1140.7"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","30","One parent family with children","-","All ages","Euro","1028.71"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","415","25 - 34 years","Euro","863.24"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","465","35 - 44 years","Euro","1128.19"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","500","45 - 54 years","Euro","1241.68"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","530","55 - 59 years","Euro","1162.4"
"EAPI02C01","Mean Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","-","All ages","Euro","1081.41"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","10","Married couple with children","415","25 - 34 years","Euro","743.24"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","10","Married couple with children","465","35 - 44 years","Euro","919.8"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","10","Married couple with children","500","45 - 54 years","Euro","956.88"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","10","Married couple with children","530","55 - 59 years","Euro","903.62"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","10","Married couple with children","-","All ages","Euro","919.84"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","415","25 - 34 years","Euro","591.03"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","465","35 - 44 years","Euro","745.35"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","500","45 - 54 years","Euro","825.87"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","530","55 - 59 years","Euro","815.19"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","-","All ages","Euro","713.56"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","30","One parent family with children","415","25 - 34 years","Euro","415.62"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","30","One parent family with children","465","35 - 44 years","Euro","586.76"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","30","One parent family with children","500","45 - 54 years","Euro","739.89"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","30","One parent family with children","530","55 - 59 years","Euro","766.69"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","30","One parent family with children","-","All ages","Euro","609.02"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","415","25 - 34 years","Euro","752.04"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","465","35 - 44 years","Euro","870.96"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","500","45 - 54 years","Euro","879.99"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","530","55 - 59 years","Euro","782.84"
"EAPI02C01","Mean Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","-","All ages","Euro","829.62"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","415","25 - 34 years","Euro","564.11"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","465","35 - 44 years","Euro","730.23"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","500","45 - 54 years","Euro","734.27"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","530","55 - 59 years","Euro","770.46"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","10","Married couple with children","-","All ages","Euro","706.24"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","415","25 - 34 years","Euro","469.96"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","465","35 - 44 years","Euro","576.75"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","500","45 - 54 years","Euro","600"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","530","55 - 59 years","Euro","582.43"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","20","Cohabiting couple with children","-","All ages","Euro","527.93"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","415","25 - 34 years","Euro","290.71"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","465","35 - 44 years","Euro","385.82"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","500","45 - 54 years","Euro","448.27"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","530","55 - 59 years","Euro","480.75"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","30","One parent family with children","-","All ages","Euro","368.97"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","415","25 - 34 years","Euro","538.89"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","465","35 - 44 years","Euro","662.98"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","500","45 - 54 years","Euro","648.26"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","530","55 - 59 years","Euro","619.62"
"EAPI02C02","Median Weekly Earnings","2016","2016","-","Both sexes","-","Total EAADS Employment Population","-","All ages","Euro","606.13"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","10","Married couple with children","415","25 - 34 years","Euro","649.08"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","10","Married couple with children","465","35 - 44 years","Euro","846.6"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","10","Married couple with children","500","45 - 54 years","Euro","917.82"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","10","Married couple with children","530","55 - 59 years","Euro","892.75"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","10","Married couple with children","-","All ages","Euro","842.94"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","415","25 - 34 years","Euro","550.17"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","465","35 - 44 years","Euro","630.75"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","500","45 - 54 years","Euro","656.82"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","530","55 - 59 years","Euro","625.89"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","20","Cohabiting couple with children","-","All ages","Euro","597.23"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","30","One parent family with children","415","25 - 34 years","Euro","515.85"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","30","One parent family with children","465","35 - 44 years","Euro","636.13"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","30","One parent family with children","500","45 - 54 years","Euro","677.67"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","30","One parent family with children","530","55 - 59 years","Euro","681.12"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","30","One parent family with children","-","All ages","Euro","631.87"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","415","25 - 34 years","Euro","565.2"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","465","35 - 44 years","Euro","717.62"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","500","45 - 54 years","Euro","761.6"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","530","55 - 59 years","Euro","739.69"
"EAPI02C02","Median Weekly Earnings","2016","2016","1","Male","-","Total EAADS Employment Population","-","All ages","Euro","663.85"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","10","Married couple with children","415","25 - 34 years","Euro","481.72"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","10","Married couple with children","465","35 - 44 years","Euro","622.1"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","10","Married couple with children","500","45 - 54 years","Euro","560.3"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","10","Married couple with children","530","55 - 59 years","Euro","579.29"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","10","Married couple with children","-","All ages","Euro","577"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","415","25 - 34 years","Euro","384.66"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","465","35 - 44 years","Euro","497.5"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","500","45 - 54 years","Euro","500.23"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","530","55 - 59 years","Euro","460.65"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","20","Cohabiting couple with children","-","All ages","Euro","436.26"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","30","One parent family with children","415","25 - 34 years","Euro","283.75"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","30","One parent family with children","465","35 - 44 years","Euro","368.12"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","30","One parent family with children","500","45 - 54 years","Euro","419.25"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","30","One parent family with children","530","55 - 59 years","Euro","430.35"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","30","One parent family with children","-","All ages","Euro","351.25"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","415","25 - 34 years","Euro","508.38"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","465","35 - 44 years","Euro","602.03"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","500","45 - 54 years","Euro","541.34"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","530","55 - 59 years","Euro","513.92"
"EAPI02C02","Median Weekly Earnings","2016","2016","2","Female","-","Total EAADS Employment Population","-","All ages","Euro","545.45"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","415","25 - 34 years","Euro","757.66"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","465","35 - 44 years","Euro","914.27"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","500","45 - 54 years","Euro","944.68"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","530","55 - 59 years","Euro","913.46"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","10","Married couple with children","-","All ages","Euro","911.35"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","415","25 - 34 years","Euro","635.99"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","465","35 - 44 years","Euro","735.13"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","500","45 - 54 years","Euro","754.94"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","530","55 - 59 years","Euro","735.52"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","20","Cohabiting couple with children","-","All ages","Euro","707.35"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","415","25 - 34 years","Euro","337.92"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","465","35 - 44 years","Euro","484.69"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","500","45 - 54 years","Euro","600.83"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","530","55 - 59 years","Euro","635.64"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","30","One parent family with children","-","All ages","Euro","491.2"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","415","25 - 34 years","Euro","693.79"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","465","35 - 44 years","Euro","805.17"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","500","45 - 54 years","Euro","804.9"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","530","55 - 59 years","Euro","740.88"
"EAPI02C02","Median Weekly Earnings","2022","2022","-","Both sexes","-","Total EAADS Employment Population","-","All ages","Euro","761.05"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","10","Married couple with children","415","25 - 34 years","Euro","877.26"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","10","Married couple with children","465","35 - 44 years","Euro","1076.36"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","10","Married couple with children","500","45 - 54 years","Euro","1146.93"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","10","Married couple with children","530","55 - 59 years","Euro","1057.69"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","10","Married couple with children","-","All ages","Euro","1085.17"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","415","25 - 34 years","Euro","750.64"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","465","35 - 44 years","Euro","827.62"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","500","45 - 54 years","Euro","825.43"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","530","55 - 59 years","Euro","766.66"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","20","Cohabiting couple with children","-","All ages","Euro","802.4"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","30","One parent family with children","415","25 - 34 years","Euro","697.21"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","30","One parent family with children","465","35 - 44 years","Euro","793.75"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","30","One parent family with children","500","45 - 54 years","Euro","854.54"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","30","One parent family with children","530","55 - 59 years","Euro","831.42"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","30","One parent family with children","-","All ages","Euro","801.83"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","415","25 - 34 years","Euro","725.49"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","465","35 - 44 years","Euro","886.02"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","500","45 - 54 years","Euro","921.79"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","530","55 - 59 years","Euro","859.86"
"EAPI02C02","Median Weekly Earnings","2022","2022","1","Male","-","Total EAADS Employment Population","-","All ages","Euro","832.83"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","10","Married couple with children","415","25 - 34 years","Euro","651.18"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","10","Married couple with children","465","35 - 44 years","Euro","768.25"
